,CO2 (ppm),CH4 (ppb),N2O (ppb),CF4,C2F6,C6F14,HFC23,HFC32,HFC43_10,HFC125,HFC134a,HFC143a,HFC227ea,HFC245fa,SF6,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CARB_TET,MCF,HCFC_22,HCFC_141B,HCFC_142B,HALON1211,HALON1202,HALON1301,HALON2402,CH3BR,CH3CL
1792,278.915469337393,777.9092925184582,273.6634555578017,34.495853350166136,0.0,0.0,0.0,6.116639347461285e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1793,278.9524593620691,777.6834084978799,273.6796587150624,34.495810893543805,0.0,0.0,0.0,6.131029537556016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1794,278.9898792491497,777.5537791833721,273.6955858540005,34.4957684377706,0.0,0.0,0.0,6.142902206589087e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1795,279.02759866998866,777.4734508853403,273.71128824621223,34.4957259828465,0.0,0.0,0.0,6.694936835392395e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1796,279.0661138172947,777.3009861145076,273.72677662412167,34.49568352877149,0.0,0.0,0.0,7.69263369175416e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1797,279.1041390738167,777.1293974124985,273.7420617984508,34.49564107554555,0.0,0.0,0.0,8.515786443242587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1798,279.1432323441112,777.0181402505256,273.757154663984,34.49559862316867,0.0,0.0,0.0,9.194931063136305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1799,279.1832641006259,776.9009916198917,273.77212662139596,34.49555617164083,0.0,0.0,0.0,9.755261346788487e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1800,279.2240835029965,776.7871514919306,273.7870486567437,34.49551372096201,0.0,0.0,0.0,0.00010217563509804764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1801,279.26549967227726,776.6727830416371,273.8019510674719,34.495471271132196,0.0,0.0,0.0,0.00010598987281042863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1802,279.3083645724922,776.5459291769646,273.8168439552269,34.49542882215137,0.0,0.0,0.0,0.00010913682095179762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1803,279.3510717644205,776.3930381096372,273.8317375307797,34.49538637401951,0.0,0.0,0.0,0.00011173321985276799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1804,279.39485316086234,776.1989852459687,273.8466823841268,34.49534392673661,0.0,0.0,0.0,0.00011387538646947859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1805,279.4386575251292,776.0507246871147,273.8617490198573,34.49530148030264,0.0,0.0,0.0,0.00011564278739236233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1806,279.48340742647736,775.9435176742952,273.8769672835464,34.4952590347176,0.0,0.0,0.0,0.0001171009867676317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1807,279.5291751539609,775.8368822527398,273.89232670280364,34.49521658998145,0.0,0.0,0.0,0.00011830407848864685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1808,279.5751901444913,775.8175450026297,273.90787751903383,34.4951741460942,0.0,0.0,0.0,0.00011929669288262013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1809,279.62192759357083,775.8000736256291,273.92364962651413,34.49513170305581,0.0,0.0,0.0,0.00012011565233343537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1810,279.6553136142183,775.7021356418031,273.93969302367543,34.49508926086628,0.0,0.0,0.0,0.00012079133725816722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1811,279.69221040256497,775.5406217081786,273.9560373766385,34.495046819525584,0.0,0.0,0.0,0.00012134881311006127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1812,279.73374558642746,775.2779965269926,273.97271233807845,34.4950043790337,0.0,0.0,0.0,0.00012180876021568645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1813,279.77908056144963,774.991481292853,273.9897475345179,34.49496193939062,0.0,0.0,0.0,0.00012218824093983662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1814,279.82757313124296,774.8136976113936,274.00719271806327,34.494919500596325,0.0,0.0,0.0,0.00012250133263720864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1815,279.87863848975536,774.6848133233757,274.0250571974701,34.4948770626508,0.0,0.0,0.0,0.0001227596498710624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
