,CO2,CH4,N2O,otherGHG,FO3tr,O3st,H2Ost,contrails,aerosols,BCsnow,landuse,volcanic,solar
1961,0.6724385043651432,0.27043246178316904,0.05085566079601406,0.026568503299684677,0.2132183173906706,-0.006826120048684219,0.03245189541398028,0.0,-1.3455909297535775,0.026107292954264526,-0.12923369475899993,0.103613625,0.0751953
1962,0.6880680024929803,0.27813745324305694,0.051424087451507276,0.029503625518338236,0.21598995731743245,-0.0074210356511378184,0.03337649438916683,0.0,-1.3503101516432325,0.026048949320148333,-0.1309630599809999,0.045381677,0.0292023
1963,0.7043988695768549,0.2864035870251163,0.052121344633882544,0.03290446095005977,0.23322308795722368,-0.008076478877797165,0.03436843044301396,0.0,-1.4173221765968775,0.026887021013597037,-0.13269982148799994,-0.870695639,0.0135223
1964,0.7203690254803164,0.29500023432101286,0.05300294692341859,0.03682173834505024,0.23415307586991577,-0.008789233919194995,0.03540002811852154,0.0,-1.4136357758633238,0.02600692212608158,-0.13442634198499995,-0.627989251,0.0062592
1965,0.7368314408646304,0.3037529558967298,0.053902464168617686,0.04124767787161819,0.24357072518741194,-0.009564374315594851,0.036450354707607574,0.0,-1.4442220315944199,0.026056860321384424,-0.13618836464999995,-0.338100057,0.0102325
1966,0.7539360008972937,0.3128493185892915,0.05473976484592157,0.04618395505405179,0.2503842556607702,-0.010417510482265371,0.037541918230714975,0.0,-1.4655886307775192,0.026132014833127316,-0.13795300446199993,0.061711846,0.0451385
1967,0.7720754053811753,0.32224636682186725,0.05551500113451836,0.051709533092414856,0.26377141482518074,-0.011368743201185078,0.03866956401862407,0.0,-1.4807776890949305,0.026652657601977752,-0.13976782522299994,0.014790623,0.0891022
1968,0.7909789659590107,0.3319889360855584,0.056335441467221636,0.05790305634103587,0.2714558665868846,-0.012418362100549378,0.03983867233026701,0.0,-1.5082353713386345,0.026553275648949323,-0.14152711695199993,0.047390727,0.1118744
1969,0.8111058120359819,0.34184397691884705,0.057296365061083224,0.06480700614698412,0.2788668506243231,-0.013564226337729277,0.041021277230261645,0.0,-1.527634467046957,0.02671990111248455,-0.14328265364399992,0.078182428,0.1157837
1970,0.8325140731869735,0.3518960035344231,0.058268577608099094,0.07239806725702595,0.29452187906026916,-0.014785468243604511,0.04222752042413077,0.0,-1.59749928498004,0.027439802224969098,-0.14502476323399993,0.077020135,0.1180695
1971,0.8535482320622603,0.3619913485535637,0.05928054024460333,0.08062537202708814,0.30320623479381353,-0.016090523336365174,0.04343896182642764,0.0,-1.609398653824907,0.028201236093943143,-0.14662315731699993,0.015789762,0.0794037
1972,0.8748262455005391,0.37240603062943967,0.060452791818315046,0.08961597780102068,0.3224036013554757,-0.017547746211291577,0.04468872367553276,0.0,-1.6793075673799294,0.029523856613102594,-0.14813211324599992,-0.25439854,0.0767761
1973,0.8971689432216919,0.38293810719583293,0.06177156003560427,0.09961953996828979,0.324119213327815,-0.019211546772433075,0.04595257286349995,0.0,-1.6945949057250256,0.02915105067985167,-0.14963139710999993,0.085593129,0.0373413
1974,0.9184003454574085,0.3928521305083892,0.06320129711202119,0.11058639135280521,0.3259107368657618,-0.021059902555929388,0.0471422556610067,0.0,-1.6805798290855138,0.029525834363411618,-0.15109904763199994,-0.025188256,0.0180298
1975,0.9391434612229089,0.40204789982679506,0.06465391018453816,0.12176843556215498,0.3256263953638804,-0.022923896507664843,0.04824574797921541,0.0,-1.6526705658730234,0.029658343634116194,-0.15258103556799993,-0.231640533,0.0184143
1976,0.9615382073429661,0.41109508403655165,0.06625445607759149,0.1328093827211289,0.34026039962063737,-0.024822675689076912,0.0493314100843862,0.0,-1.7246858110640704,0.030840543881334982,-0.15408236763399993,-0.004037932,0.0120697
1977,0.9848355482985578,0.420390375818068,0.06801584140734694,0.14381478595495248,0.3478996057556774,-0.026873482506897698,0.05044684509816816,0.0,-1.737093632126888,0.03141260815822003,-0.15561999839099996,0.067292986,0.0530853
1978,1.0088065145946425,0.42949808397820294,0.06980487843868771,0.15506768159720094,0.3581008100684882,-0.0291654979794185,0.05153977007738435,0.0,-1.7530622281169377,0.03252904820766379,-0.15709754855599994,0.088393254,0.11604
1979,1.0330428802521145,0.43842995633183557,0.07133222964431671,0.16547840981922482,0.3637275709101479,-0.03126696577398098,0.05261159475982027,0.0,-1.776116991026426,0.03301458590852905,-0.15852173167999994,0.07931572,0.1693817
1980,1.056185769534866,0.44765508249722263,0.07274956028361915,0.17549140597119983,0.36323626520461894,-0.033119477665400215,0.05371860989966672,0.0,-1.7714041773983606,0.0327238566131026,-0.15993658410599995,0.041147869,0.1585937
1981,1.0783499463875077,0.45670171941841764,0.07484886243628272,0.18565183462845966,0.360190330286999,-0.034913804242957244,0.05480420633021012,0.0,-1.7306768046882173,0.032523114956736716,-0.16136133617499995,0.013359211,0.162439
1982,1.1000642553954219,0.46576426296614754,0.0771126364278323,0.19511239351784013,0.3742862019564312,-0.036491009468720775,0.0558917115559377,0.0,-1.76626108170043,0.03419184177997528,-0.16279211906099994,-0.302023072,0.1025177
1983,1.122641284916178,0.47445289470910634,0.07879620473385565,0.20493266224303883,0.36011600927576504,-0.038175596381320946,0.05693434736509276,0.0,-1.6887347046354184,0.03275846724351051,-0.16442180511899995,-0.699730832,0.1006805
1984,1.1454290694682503,0.4815191112830969,0.08012724024961264,0.21563129197392045,0.37218160629004626,-0.040054589952540444,0.05778229335397162,0.0,-1.717157141491585,0.03369592088998764,-0.16608346588599993,-0.270889264,0.0306976
1985,1.1685333170631793,0.486728925656266,0.08182050159487274,0.2262147107839716,0.37773807108203744,-0.04185448822651298,0.05840747107875192,0.0,-1.72844044395893,0.03422892459826947,-0.1677889354179999,-0.064998608,0.0073914
1986,1.1924394767819673,0.49111087098936285,0.08353574195271785,0.2376102339574086,0.3816612609201264,-0.04371627483883701,0.05893330451872354,0.0,-1.732770656243456,0.03467836835599506,-0.16952899680599992,-0.063599048,0.0101685
1987,1.2170554998381757,0.4955492941131174,0.08460158641833249,0.2504297284917152,0.39221134734919844,-0.0459195154760113,0.05946591529357408,0.0,-1.7762776213679297,0.0356,-0.17125267257799992,0.002925368,0.0250153
1988,1.2426822772857655,0.49973732795038256,0.08705716936520708,0.26326922397884417,0.3981595780903526,-0.04819239018296587,0.0599684793540459,0.0,-1.7857051292656756,0.03657156983930779,-0.17297566561599992,0.049410816,0.0869019
1989,1.2686215728565537,0.5037976368970577,0.09073342548597281,0.2747061911727759,0.3973318630437094,-0.050111751411514964,0.060455716427646924,0.0,-1.7743378300036254,0.036193819530284305,-0.17471800278399993,0.080480218,0.1710693
1990,1.2935624597234643,0.5078230848553027,0.09324995412224814,0.28511241617674676,0.3991793141047769,-0.05198926128352697,0.06093877018263632,0.0,-1.7860120135271824,0.03712385661310259,-0.17636134352199992,0.075823551,0.1560089
1991,1.3198497927929116,0.5134088744653953,0.09465469553880215,0.2941111515424591,0.4314123270869562,-0.05354316370739505,0.06160906493584743,0.0,-1.8878399141049553,0.039611866501854144,-0.17822281777299992,-0.640611593,0.1535522
1992,1.3448118941156249,0.5180385953598303,0.09558958807646561,0.3008597422985159,0.4016125358821057,-0.054447509484394814,0.06216463144317964,0.0,-1.7293156134521692,0.03641483312731767,-0.1801367487529999,-1.696494821,0.1251404
1993,1.3670669755005795,0.5199591023828949,0.09651118643957497,0.3057908317670358,0.4148104177861439,-0.05485234826612896,0.06239509228594738,0.0,-1.7362905216005666,0.03723658838071694,-0.18189569911499992,-0.806261335,0.0578705
1994,1.389392079132508,0.5235943481741719,0.09770603994354492,0.30913511290637924,0.43509387916253317,-0.05464952980882372,0.06283132178090063,0.0,-1.7944435471235185,0.03903930778739184,-0.18360572020699992,-0.11915395,0.0179016
1995,1.4133042395688276,0.5285366330060816,0.09938935824984535,0.312194889826768,0.42112624152982103,-0.0537742738721323,0.06342439596072978,0.0,-1.7189264618521227,0.03863139678615575,-0.18529571443499993,0.028814301,0.0101044
1996,1.4384785547229544,0.5328430491091787,0.10125167736455393,0.31476774191268464,0.4170231281073117,-0.05258775908095106,0.06394116589310143,0.0,-1.6874631086750373,0.038003955500618046,-0.18696761621199992,0.084261714,-0.0067505
1997,1.4691974438620743,0.5402334102753503,0.10295557287436863,0.31655416234757283,0.46151310388388384,-0.05178372527562018,0.06482800923304204,0.0,-1.8487776736354191,0.04088899876390606,-0.18945049219199991,0.10356097,0.0155731
1998,1.4945835576830862,0.5498344016747616,0.10473174976697548,0.3183515213739746,0.4481130358096728,-0.0511019438382017,0.06598012820097139,0.0,-1.810168384097873,0.04159307787391842,-0.19120318415899992,0.106952799,0.0796387
1999,1.5191329577704178,0.557011315405065,0.10634826911801712,0.32031808518731136,0.42521882120344345,-0.04998729076652036,0.0668413578486078,0.0,-1.6487355388580474,0.038062793572311494,-0.1926853996729999,0.109239948,0.1269348
2000,1.545078238785459,0.5617731570166392,0.10759681064091345,0.32214376193589284,0.41998239203580556,-0.04852162568313312,0.0674127788419967,0.0,-1.6130511384857387,0.0368716934487021,-0.19405155040699992,0.11025257,0.1612427
2001,1.5699498286646072,0.5654973634905945,0.10897330705953671,0.3239187499160656,0.4203000350063497,-0.04718522903814984,0.06785968361887135,0.0,-1.618236829936363,0.03753671199011125,-0.1951452902749999,0.106849425,0.1470367
